,index,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
1076,61584,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,DS Kulkarni,14,0,2.4,14,0,11,3,180
1077,61585,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,DS Kulkarni,20,0,2.5,20,0,17,3,180
1078,61586,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,DS Kulkarni,24,0,2.6,24,0,17,3,180
1079,61589,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,SR Watson,25,0,3.3,25,0,17,4,180
1080,61590,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,SR Watson,26,0,3.4,26,0,18,4,180
1081,61592,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,SR Watson,28,0,3.5,28,0,18,5,180
1082,61593,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,SR Watson,28,0,3.6,28,0,18,5,180
1083,61595,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,33,0,4.2,33,0,22,6,180
1084,61596,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,34,0,4.2,34,0,22,6,180
1085,61597,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,34,0,4.3,34,0,22,6,180
1086,61598,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,38,0,4.4,38,0,26,6,180
1087,61599,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,38,0,4.5,38,0,26,6,180
1088,61600,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,CH Morris,38,0,4.6,34,0,26,6,180
1089,61602,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,DS Kulkarni,40,0,5.2,36,0,27,7,180
1090,61606,501,20/05/2015,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,Rajasthan Royals,CH Gayle,DS Kulkarni,41,1,5.6,35,1,27,8,180
1091,61694,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,0,0,0.1,0,0,0,0,139
1092,61695,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,6,0,0.2,6,0,6,0,139
1093,61696,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,6,0,0.3,6,0,6,0,139
1094,61697,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,6,0,0.4,6,0,6,0,139
1095,61698,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,6,0,0.5,6,0,6,0,139
1096,61699,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,6,0,0.6,6,0,6,0,139
1097,61701,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,7,0,1.2,7,0,6,1,139
1098,61702,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,7,0,1.3,7,0,6,1,139
1099,61703,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,7,0,1.4,7,0,6,1,139
1100,61704,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,11,0,1.5,11,0,10,1,139
1101,61705,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,11,0,1.6,11,0,10,1,139
1102,61712,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,22,0,3.1,22,0,11,11,139
1103,61714,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,23,0,3.3,23,0,12,11,139
1104,61715,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,23,0,3.4,23,0,12,11,139
1105,61716,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,23,0,3.5,23,0,12,11,139
1106,61717,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,23,0,3.6,23,0,12,11,139
1107,61720,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,24,1,4.3,24,1,11,1,139
1108,61721,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,A Nehra,25,1,4.4,25,1,12,1,139
1109,61724,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,25,2,5.1,25,2,12,0,139
1110,61725,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,R Ashwin,26,2,5.2,20,2,13,0,139
1111,61732,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,30,2,6.3,23,2,13,4,139
1112,61733,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,32,2,6.4,25,2,15,4,139
1113,61734,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,32,2,6.5,21,2,15,4,139
1114,61735,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,36,2,6.6,25,2,19,4,139
1115,61742,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,38,3,8.1,16,3,19,2,139
1116,61743,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,38,3,8.2,15,3,19,2,139
1117,61744,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,39,3,8.3,16,3,20,2,139
1118,61747,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,41,3,8.6,18,3,21,3,139
1119,61748,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,41,3,9.1,18,2,21,3,139
1120,61749,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,42,3,9.2,18,2,22,3,139
1121,61751,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,44,3,9.3,19,2,22,4,139
1122,61752,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,45,3,9.4,20,2,23,4,139
1123,61756,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,47,3,10.2,21,1,23,6,139
1124,61757,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,49,3,10.3,21,1,25,6,139
1125,61758,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,50,3,10.4,22,1,25,6,139
1126,61760,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,MM Sharma,52,3,10.6,23,1,26,7,139
1127,61761,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,53,3,11.1,23,1,27,7,139
1128,61766,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,65,3,11.6,29,0,28,18,139
1129,61767,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,DJ Bravo,65,3,12.1,29,0,28,18,139
1130,61768,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,DJ Bravo,65,3,12.2,29,0,28,18,139
1131,61769,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,DJ Bravo,66,3,12.3,28,0,29,18,139
1132,61774,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,73,3,13.1,34,0,35,18,139
1133,61775,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,79,3,13.2,40,0,41,18,139
1134,61776,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,80,3,13.2,40,0,41,18,139
1135,61777,502,22/05/2015,JSCA International Stadium Complex,Royal Challengers Bangalore,Chennai Super Kings,CH Gayle,SK Raina,80,4,13.3,39,1,41,18,139
1136,62300,507,12/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,A Nehra,0,0,0.1,0,0,0,0,227
1137,62301,507,12/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,A Nehra,1,0,0.2,1,0,1,0,227
1138,62306,507,12/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,B Kumar,6,0,1.0,6,0,4,1,227
1139,62307,507,12/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,B Kumar,6,0,1.1,6,0,4,1,227
1140,62308,507,12/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,CH Gayle,B Kumar,6,1,1.2,6,1,4,1,227
1141,63170,514,17/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,Z Khan,0,0,0.1,0,0,0,0,191
1142,63171,514,17/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,Z Khan,0,0,0.2,0,0,0,0,191
1143,63172,514,17/04/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,Z Khan,0,1,0.3,0,1,0,0,191
1144,65401,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,AD Russell,1,0,0.3,1,0,1,0,185
1145,65402,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,AD Russell,1,0,0.4,1,0,1,0,185
1146,65403,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,AD Russell,1,0,0.5,1,0,1,0,185
1147,65404,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,AD Russell,2,0,0.6,2,0,1,1,185
1148,65405,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,M Morkel,2,0,1.1,2,0,1,1,185
1149,65406,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,M Morkel,8,0,1.2,8,0,7,1,185
1150,65407,532,02/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,CH Gayle,M Morkel,8,1,1.3,8,1,7,1,185
1151,66772,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,9,1,1.3,9,1,1,0,151
1152,66773,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,10,1,1.4,10,1,1,1,151
1153,66775,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,11,1,1.6,11,1,2,1,151
1154,66783,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,13,1,3.2,13,1,4,1,151
1155,66784,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,17,1,3.3,17,1,5,4,151
1156,66785,543,11/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,17,2,3.4,17,2,5,4,151
1157,67132,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,0,0,0.1,0,0,0,0,248
1158,67133,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,0,0,0.2,0,0,0,0,248
1159,67134,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,0,0,0.3,0,0,0,0,248
1160,67135,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,0,0,0.4,0,0,0,0,248
1161,67136,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,1,0,0.5,1,0,0,0,248
1162,67138,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,1,0,1.1,1,0,0,0,248
1163,67139,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,2,0,1.2,2,0,1,0,248
1164,67143,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,3,0,1.6,3,0,1,1,248
1165,67146,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,8,0,2.3,8,0,6,1,248
1166,67147,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,P Kumar,9,0,2.4,9,0,6,2,248
1167,67152,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,19,0,3.3,19,0,12,6,248
1168,67153,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,19,0,3.4,19,0,12,6,248
1169,67154,546,14/05/2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,19,1,3.5,19,1,12,6,248
1170,69359,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,Z Khan,1,0,0.1,1,0,1,0,157
1171,69368,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,CH Morris,19,0,1.4,19,0,13,5,157
1172,69369,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,CH Morris,19,0,1.5,19,0,13,5,157
1173,69370,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,CH Morris,19,0,1.6,19,0,13,5,157
1174,69373,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,PJ Cummins,20,0,2.3,20,0,14,5,157
1175,69374,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,PJ Cummins,21,0,2.3,21,0,14,5,157
1176,69375,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,PJ Cummins,22,0,2.4,22,0,14,6,157
1177,69378,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,CH Morris,26,0,3.1,26,0,18,6,157
1178,69379,564,08/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,CH Gayle,CH Morris,26,1,3.2,26,1,18,6,157
1179,70235,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,1,0,0.1,1,0,1,0,142
1180,70238,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,4,0,0.3,4,0,2,1,142
1181,70241,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,6,0,0.5,6,0,2,2,142
1182,70242,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,6,0,0.6,6,0,2,2,142
1183,70245,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,7,0,1.3,7,0,3,2,142
1184,70246,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,7,0,1.4,7,0,3,2,142
1185,70247,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,7,0,1.5,7,0,3,2,142
1186,70248,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,7,0,1.6,7,0,3,2,142
1187,70254,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,TG Southee,24,0,2.6,24,0,20,2,142
1188,70256,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,26,0,3.2,26,0,21,3,142
1189,70261,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,32,0,4.1,32,0,23,7,142
1190,70262,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,32,0,4.2,32,0,23,7,142
1191,70263,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,32,0,4.3,32,0,23,7,142
1192,70264,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,32,0,4.4,32,0,23,7,142
1193,70265,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,33,0,4.5,32,0,23,8,142
1194,70268,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,36,0,5.2,32,0,25,9,142
1195,70270,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,41,0,5.4,36,0,26,13,142
1196,70271,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,41,0,5.5,35,0,26,13,142
1197,70272,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,MJ McClenaghan,41,0,5.6,35,0,26,13,142
1198,70274,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,42,0,6.2,35,0,27,13,142
1199,70275,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,44,0,6.3,37,0,27,13,142
1200,70276,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,50,0,6.4,43,0,27,19,142
1201,70277,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,50,0,6.5,43,0,27,19,142
1202,70278,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,50,0,6.6,43,0,27,19,142
1203,70282,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,JJ Bumrah,52,0,7.4,29,0,28,20,142
1204,70287,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,59,0,8.3,31,0,34,21,142
1205,70289,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,Harbhajan Singh,61,0,8.5,33,0,35,22,142
1206,70292,571,14/04/2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,CH Gayle,HH Pandya,63,1,9.2,31,1,37,22,142
1207,71235,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,1,0,0.1,1,0,1,0,213
1208,71238,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,3,0,0.4,3,0,2,1,213
1209,71253,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,Basil Thampi,25,0,3.1,25,0,23,2,213
1210,71254,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,Basil Thampi,25,0,3.2,25,0,23,2,213
1211,71255,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,Basil Thampi,26,0,3.3,26,0,23,3,213
1212,71257,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,Basil Thampi,33,0,3.5,33,0,24,9,213
1213,71258,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,Basil Thampi,33,0,3.6,33,0,24,9,213
1214,71260,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,AJ Tye,35,0,4.2,35,0,25,10,213
1215,71266,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,41,0,5.2,40,0,27,14,213
1216,71267,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,43,0,5.3,41,0,27,16,213
1217,71268,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,44,0,5.4,41,0,27,17,213
1218,71273,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,47,0,6.3,39,0,29,18,213
1219,71275,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,54,0,6.5,42,0,30,24,213
1220,71276,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,54,0,6.6,41,0,30,24,213
1221,71278,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,55,0,7.2,42,0,31,24,213
1222,71279,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,59,0,7.3,42,0,31,28,213
1223,71280,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,63,0,7.4,42,0,32,31,213
1224,71281,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,69,0,7.5,44,0,38,31,213
1225,71282,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,RA Jadeja,75,0,7.6,50,0,44,31,213
1226,71285,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,AJ Tye,77,0,8.3,51,0,44,32,213
1227,71287,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,AJ Tye,79,0,8.5,46,0,45,33,213
1228,71289,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,84,0,9.1,50,0,46,37,213
1229,71291,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,91,0,9.3,56,0,52,38,213
1230,71292,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,91,0,9.4,56,0,52,38,213
1231,71293,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,91,0,9.5,56,0,52,38,213
1232,71294,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,S Kaushik,92,0,9.6,56,0,53,38,213
1233,71295,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DR Smith,93,0,10.1,56,0,54,38,213
1234,71297,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DR Smith,100,0,10.3,57,0,60,39,213
1235,71298,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DR Smith,101,0,10.3,57,0,60,39,213
1236,71299,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DR Smith,107,0,10.4,63,0,66,39,213
1237,71300,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DR Smith,108,0,10.5,63,0,67,39,213
1238,71303,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,110,0,11.2,63,0,67,41,213
1239,71304,579,18/04/2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,CH Gayle,DS Kulkarni,114,0,11.3,66,0,71,41,213
